Begriff,Häufigkeit,Studiengang
radio,24,Mittweida
praktisch,15,Mittweida
vertiefung,14,Mittweida
eigenen,13,Mittweida
stadt,12,Mittweida
journalismus,12,Mittweida
verfügung,11,Mittweida
medienforum,11,Mittweida
tv,11,Mittweida
praktischen,11,Mittweida
it,20,OMM
omm,15,OMM
programmieren,13,OMM
spezialisieren,12,OMM
informatik,10,OMM
perfekt,9,OMM
einblick,8,OMM
wahl,8,OMM
mischung,7,OMM
medienwelt,7,OMM
unterricht,28,Macromedia
mhmk,23,Macromedia
unternehmen,20,Macromedia
hilfsbereit,18,Macromedia
fühlt,18,Macromedia
fächer,18,Macromedia
gefühl,17,Macromedia
corona,17,Macromedia
bereits,17,Macromedia
freundlich,16,Macromedia
schwerpunkt,19,DMW
breit,17,DMW
wirtschaft,16,DMW
profs,16,DMW
eigenen,15,DMW
auswahl,14,DMW
modern,13,DMW
praxisbezug,12,DMW
praxissemester,12,DMW
echt,12,DMW
